symbol,date,type,amount,change_rate,deviation,reason,turnover,volume
000063.SZ,20250109,G0007,14480340000.0,,0.09699999999999999,日涨幅偏离值达7%,,391500000.0
000533.SZ,20250102,G0C20,1613300000.0,,0.2611,连续三个交易日内，涨幅偏离值累计达20%,,252480000.0
000533.SZ,20250103,G0007,1713400000.0,,0.1266,日涨幅偏离值达7%,,240090000.0
000533.SZ,20250106,T0020,2262480000.0,,,日换手率达20%,0.4296,294200000.0
000533.SZ,20250106,AP015,2262480000.0,,,日振幅值达15%,,294200000.0
000533.SZ,20250107,T0020,1562820000.0,,,日换手率达20%,0.3337,228520000.0
000533.SZ,20250107,AP015,1562820000.0,,,日振幅值达15%,,228520000.0
000533.SZ,20250108,GCA1X,9338730000.0,,1.0413,严重异常期间日收盘价格涨幅偏离值累计达到100%的证券,,1317850000.0
000533.SZ,20250108,T0020,1921890000.0,,,日换手率达20%,0.3639,249250000.0
000533.SZ,20250109,T0020,2368880000.0,,,日换手率达20%,0.4147,284040000.0
000533.SZ,20250109,AP015,2368880000.0,,,日振幅值达15%,,284040000.0
000564.SZ,20250103,L0007,2383220000.0,,-0.07339999999999999,日跌幅偏离值达7%,,733670000.0
000573.SZ,20250103,G0C20,267630000.0,,0.2464,连续三个交易日内，涨幅偏离值累计达20%,,85350000.0
000573.SZ,20250108,G0C20,649660000.0,,0.3232,连续三个交易日内，涨幅偏离值累计达20%,,151650000.0
000573.SZ,20250109,T0020,1169170000.0,,,日换手率达20%,0.37189999999999995,235410000.0
000573.SZ,20250110,G0007,1370800000.0,,0.1222,日涨幅偏离值达7%,,265010000.0
000573.SZ,20250110,T0020,1370800000.0,,,日换手率达20%,0.41869999999999996,265010000.0
000573.SZ,20250110,AP015,1370800000.0,,,日振幅值达15%,,265010000.0
000573.SZ,20250110,G0C20,2539970000.0,,0.22940000000000002,连续三个交易日内，涨幅偏离值累计达20%,,500430000.0
000573.SZ,20250110,GCA1X,3582600000.0,,1.0133,严重异常期间日收盘价格涨幅偏离值累计达到100%的证券,,779780000.0
000592.SZ,20250103,AP015,858290000.0,,,日振幅值达15%,,288110000.0
000592.SZ,20250103,G0C20,2416500000.0,,0.24050000000000002,连续三个交易日内，涨幅偏离值累计达20%,,829730000.0
000619.SZ,20250103,G0C20,578730000.0,,0.2161,连续三个交易日内，涨幅偏离值累计达20%,,87080000.0
000628.SZ,20250102,L0007,1272950000.0,,-0.0738,日跌幅偏离值达7%,,21950000.0
000668.SZ,20250109,G0C20,207690000.0,,0.2323,连续三个交易日内，涨幅偏离值累计达20%,,30230000.0
000669.SZ,20250107,G0C15,152640000.0,,0.1297,连续三个交易日内，涨幅偏离值累计达到15%（沪）或12%（深）的ST证券、*ST证券和未完成股改证券,,71930000.0
000716.SZ,20250103,G0C20,2777710000.0,,0.2225,连续三个交易日内，涨幅偏离值累计达20%,,380770000.0
000716.SZ,20250107,AP015,829640000.0,,,日振幅值达15%,,125920000.0
000756.SZ,20250106,G0C20,2465490000.0,,0.2403,连续三个交易日内，涨幅偏离值累计达20%,,140060000.0
000756.SZ,20250106,G0007,1746290000.0,,0.1038,日涨幅偏离值达7%,,96760000.0
000759.SZ,20250102,G0007,1775930000.0,,0.1258,日涨幅偏离值达7%,,125920000.0
000759.SZ,20250102,G0C20,4986000000.0,,0.2608,连续三个交易日内，涨幅偏离值累计达20%,,374680000.0
000759.SZ,20250103,AP015,3892370000.0,,,日振幅值达15%,,280260000.0
000759.SZ,20250103,L0007,3892370000.0,,-0.07339999999999999,日跌幅偏离值达7%,,280260000.0
000759.SZ,20250103,T0020,3892370000.0,,,日换手率达20%,0.4274,280260000.0
000759.SZ,20250106,L0007,1803800000.0,,-0.0962,日跌幅偏离值达7%,,152420000.0
000759.SZ,20250107,L0007,2097850000.0,,-0.11599999999999999,日跌幅偏离值达7%,,199200000.0
000759.SZ,20250107,L0C20,3901650000.0,,-0.2021,连续三个交易日内，跌幅偏离值累计达20%,,351620000.0
000759.SZ,20250108,T0020,2734260000.0,,,日换手率达20%,0.3942,258490000.0
000759.SZ,20250108,AP015,2734260000.0,,,日振幅值达15%,,258490000.0
000759.SZ,20250109,L0007,2085320000.0,,-0.10300000000000001,日跌幅偏离值达7%,,204490000.0
000759.SZ,20250110,L0007,1357490000.0,,-0.07780000000000001,日跌幅偏离值达7%,,148960000.0
000785.SZ,20250103,AP015,1949130000.0,,,日振幅值达15%,,491950000.0
000785.SZ,20250103,G0007,1949130000.0,,0.1266,日涨幅偏离值达7%,,491950000.0
000785.SZ,20250103,G0C20,2958740000.0,,0.21969999999999998,连续三个交易日内，涨幅偏离值累计达20%,,757800000.0
000820.SZ,20250109,G0C20,204050000.0,,0.20809999999999998,连续三个交易日内，涨幅偏离值累计达20%,,56150000.0
000820.SZ,20250110,AP015,176680000.0,,,日振幅值达15%,,45990000.0
000852.SZ,20250103,G0C20,1674000000.0,,0.2213,连续三个交易日内，涨幅偏离值累计达20%,,238870000.0
000852.SZ,20250109,L0007,768110000.0,,-0.07769999999999999,日跌幅偏离值达7%,,105210000.0
000882.SZ,20250103,G0C20,2119830000.0,,0.2632,连续三个交易日内，涨幅偏离值累计达20%,,893100000.0
